Name,Latitude,Longitude
Unnamed,13.0001079 77.5714024,77.5713779
Unnamed,12.9564355 77.7287108,77.7286376
Unnamed,12.9564299 77.7288703,77.7287973
Unnamed,12.9295545 77.7314338,77.7310891
Unnamed,12.9837312 77.7514143,77.7510979
Unnamed,12.9632167 77.7225155,77.7224283
Unnamed,12.9338103 77.7227891,77.7223083
Unnamed,12.9615697 77.7320326,77.731465
Unnamed,12.9615636 77.7323789,77.7322223
Unnamed,13.1187721 77.5948249,77.5955505
Unnamed,12.9473984 77.7160701,77.7157871
Unnamed,12.9940764 77.7066529,77.7061392
Unnamed,12.9932822 77.7061497,77.7061571
Unnamed,12.9097058 77.6808077,77.6807573
Unnamed,12.8847537 77.5521486,77.552217
Unnamed,12.978532 77.6401247,77.6401871
Unnamed,12.9113423 77.5847568,77.5847589
Unnamed,12.9136474 77.6527071,77.652461
Unnamed,12.965145 77.7073435,77.7071833
Unnamed,12.9289919 77.5806168,77.5803437
Unnamed,12.9567904 77.7460907,77.7459607
Unnamed,12.9620077 77.5751089,77.575163
Unnamed,12.889846 77.5976695,77.5975709
Unnamed,12.8887734 77.5962471,77.5963255
Unnamed,12.8864477 77.5966769,77.5959876
Unnamed,12.9742849 77.7082162,77.7081935
Unnamed,12.955524 77.7176388,77.717437
Unnamed,12.9720237 77.6060667,77.6060138
Unnamed,12.9755667 77.6041653,77.6041393
Unnamed,12.8944211 77.5417115,77.5413579
Unnamed,12.8962348 77.5411337,77.5410935
Unnamed,12.8958428 77.5411587,77.5412227
Unnamed,12.8966312 77.5401006,77.5400544
Unnamed,12.8964028 77.5401023,77.5400774
Unnamed,12.9064077 77.5926345,77.5924803
Unnamed,12.9306173 77.6106852,77.610659
Unnamed,12.9306936 77.6109758,77.6109325
Unnamed,12.9302626 77.6115862,77.6115494
Unnamed,12.9298499 77.6106098,77.6105745
Unnamed,12.9293572 77.6108969,77.6108711
Visitor Parking,12.93009 77.6100098,77.609979
Unnamed,12.9401129 77.5960381,77.5960182
Public Parking,12.9427192 77.5947444,77.5947846
Unnamed,12.9664352 77.7200286,77.7200148
Unnamed,12.9834533 77.7084331,77.708425
Unnamed,13.2013505 77.6904792,77.6904818
Unnamed,12.9181393 77.4998116,77.4986178
Unnamed,12.906206 77.5870225,77.5868938
Unnamed,12.9663931 77.5745351,77.5745407
Unnamed,12.9674164 77.5743858,77.5744481
Unnamed,12.9618393 77.7168627,77.7168105
Unnamed,12.931041 77.6757704,77.6757599
Unnamed,12.9478414 77.5927824,77.5921494
Unnamed,12.9939817 77.7009503,77.7010211
Unnamed,12.9806398 77.7104172,77.7104085
Unnamed,12.9117844 77.6751436,77.6747695
Unnamed,12.9161047 77.6659061,77.6653999
Unnamed,12.9883553 77.5602002,77.5601895
Unnamed,12.9772892 77.5730593,77.5730595
Unnamed,12.9625463 77.574546,77.5750835
Unnamed,13.0989167 77.5824626,77.5821729
Unnamed,12.9562908 77.70052,77.7005487
Unnamed,12.9812417 77.7143535,77.7141389
RMZ NXT Visitor's Parking,12.9785653 77.7123962,77.7114359
Unnamed,12.9802489 77.7141161,77.7137729
Unnamed,12.9812522 77.7153748,77.7154076
Unnamed,12.9808426 77.7164686,77.7165036
Unnamed,12.9808798 77.7170169,77.7170208
Unnamed,12.9809596 77.7162512,77.7162014
Unnamed,12.9807185 77.7201556,77.7201609
Unnamed,12.9597467 77.7304615,77.7304628
Unnamed,12.9593363 77.7270538,77.726756
Unnamed,13.099952 77.5880214,77.5878857
Unnamed,12.9223733 77.6682584,77.6682478
Unnamed,12.9665139 77.6992875,77.69879
Unnamed,12.9421915 77.697255,77.6972025
Unnamed,12.9862165 77.7014034,77.7013554
Unnamed,12.9758213 77.6084416,77.6085734
Unnamed,12.9812558 77.6142632,77.6142756
Unnamed,12.9810798 77.6143673,77.6143781
Unnamed,12.9995219 77.6251854,77.6251133
Unnamed,12.9957104 77.6260361,77.6256227
Urbanrise Parking,12.9154589 77.644081,77.6440957
Unnamed,12.9566862 77.7324104,77.7324099
Unnamed,12.9395769 77.6281039,77.6278967
Unnamed,12.8620031 77.5305713,77.5304173
Unnamed,12.861642 77.5292082,77.5293012
Unnamed,12.941345 77.6900865,77.6900547
Unnamed,12.94119 77.6900877,77.690054
Unnamed,12.9429795 77.690579,77.6904696
Unnamed,12.9163635 77.6129174,77.6127752
Unnamed,12.9765985 77.6988719,77.6988308
Unnamed,12.9756575 77.6989217,77.6988658
Unnamed,12.9748198 77.6979498,77.6973866
Unnamed,12.9718981 77.7266905,77.7262757
Unnamed,12.9732552 77.7292925,77.728748
Unnamed,12.8160382 77.5116578,77.5116235
Unnamed,13.192353 77.6448923,77.6441091
Unnamed,13.1916466 77.6449594,77.6445436
Unnamed,13.1938134 77.6446804,77.6445445
Unnamed,12.9264859 77.6783945,77.678354
Unnamed,12.9490897 77.7175431,77.7174982
Unnamed,12.9756307 77.7541039,77.7540484
Unnamed,12.9757582 77.5880286,77.5881768
Unnamed,12.9238246 77.6655494,77.6655455
Unnamed,12.9213297 77.6709974,77.6709501
Unnamed,13.1782631 77.7216732,77.7215181
Unnamed,13.1823955 77.724,77.7235709
Unnamed,13.1834289 77.7252167,77.7249143
Unnamed,13.184187 77.7243695,77.7241516
Unnamed,12.9485706 77.6448505,77.6444333
Unnamed,12.9524618 77.6405485,77.6406214
Unnamed,12.9517049 77.6422235,77.6417407
Unnamed,12.9516854 77.6444456,77.6438005
Unnamed,13.0438297 77.595875,77.5956507
Unnamed,13.0714311 77.5779658,77.5775127
Unnamed,12.9790695 77.724535,77.7240592
Unnamed,12.9243168 77.6818932,77.6816506
Unnamed,12.9246268 77.6816261,77.681488
Unnamed,12.925479 77.6821754,77.6819295
Unnamed,12.9264174 77.6821844,77.6813903
Unnamed,12.9268676 77.6813868,77.6813324
Unnamed,12.9278776 77.6813342,77.6813284
Unnamed,12.9277775 77.6813666,77.6813608
Unnamed,12.9213629 77.6853257,77.6852881
Unnamed,12.9572309 77.7367761,77.736623
Unnamed,12.9571545 77.7363623,77.7362091
Unnamed,12.9316607 77.6175778,77.617038
Unnamed,12.9194694 77.5989324,77.5987574
